ts(s)	uout	yout	wP	wI	wD	e
          0.001       0.000471              0            0.1            0.1            0.1        0.00157
          0.002      0.0008007       0.000471            0.1            0.1            0.1       0.002669
          0.003      0.0012578      0.0010407            0.1            0.1            0.1      0.0036693
          0.004       0.001749      0.0018628            0.1            0.1            0.1      0.0044171
          0.005      0.0022602      0.0029519            0.1            0.1            0.1       0.004898
          0.006      0.0027575      0.0043366            0.1            0.1            0.1      0.0050832
          0.007      0.0032097      0.0060319            0.1            0.1            0.1      0.0049578
          0.008      0.0035856      0.0080433            0.1            0.1            0.1      0.0045164
          0.009       0.003856       0.010364            0.1            0.1            0.1      0.0037652
           0.01      0.0039952       0.012976            0.1            0.1            0.1      0.0027237
          0.011      0.0039822       0.015844            0.1            0.1            0.1      0.0014254
          0.012      0.0038023       0.018921            0.1            0.1            0.1     -8.22e-005
          0.013      0.0034482       0.022146            0.1            0.1            0.1     -0.0017378
          0.014      0.0029209       0.025446            0.1            0.1            0.1     -0.0034681
          0.015      0.0022303       0.028738            0.1            0.1            0.1     -0.0051906
          0.016      0.0013955       0.031935            0.1            0.1            0.1     -0.0068175
          0.017     0.00044364       0.034947            0.1            0.1            0.1       -0.00826
          0.018    -0.00059045       0.037691            0.1            0.1            0.1     -0.0094345
          0.019     -0.0016665       0.040093            0.1            0.1            0.1      -0.010268
           0.02     -0.0027407       0.042099            0.1            0.1            0.1      -0.010704
          0.021     -0.0037688       0.043672            0.1            0.1            0.1      -0.010708
          0.022     -0.0047085       0.044806            0.1            0.1            0.1      -0.010273
          0.023     -0.0055229        0.04552            0.1            0.1            0.1      -0.009418
          0.024     -0.0061832       0.045866            0.1            0.1            0.1     -0.0081948
          0.025     -0.0066711       0.045922            0.1            0.1            0.1     -0.0066817
          0.026     -0.0069806        0.04579            0.1            0.1            0.1     -0.0049818
          0.027     -0.0071192       0.045594            0.1            0.1            0.1     -0.0032167
          0.028     -0.0071081       0.045465            0.1            0.1            0.1     -0.0015189
          0.029     -0.0069808       0.045537            0.1            0.1            0.1   -2.2318e-005
           0.03     -0.0067815       0.045934            0.1            0.1            0.1      0.0011482
          0.031      -0.006562       0.046763            0.1            0.1            0.1      0.0018873
          0.032     -0.0063777         0.0481            0.1            0.1            0.1       0.002119
          0.033     -0.0062831       0.049982            0.1            0.1            0.1      0.0018051
          0.034     -0.0063273       0.052403            0.1            0.1            0.1     0.00095144
          0.035      -0.006549       0.055312            0.1            0.1            0.1     -0.0003892
          0.036     -0.0069726       0.058608            0.1            0.1            0.1     -0.0021183
          0.037      -0.007605       0.062154            0.1            0.1            0.1     -0.0040967
          0.038     -0.0084341       0.065779            0.1            0.1            0.1     -0.0061541
          0.039     -0.0094282       0.069294            0.1       0.099999            0.1     -0.0081022
           0.04      -0.010538        0.07251            0.1       0.099999            0.1     -0.0097511
          0.041      -0.011701       0.075253            0.1       0.099999            0.1      -0.010927
          0.042      -0.012845       0.077381            0.1       0.099999            0.1      -0.011489
          0.043      -0.013895       0.078804            0.1       0.099998            0.1      -0.011346
          0.044      -0.014779       0.079489            0.1       0.099998            0.1      -0.010464
          0.045      -0.015437       0.079468            0.1       0.099998            0.1      -0.008877
          0.046      -0.015826       0.078842            0.1       0.099998            0.1     -0.0066846
          0.047      -0.015922       0.077769            0.1       0.099998            0.1     -0.0040462
          0.048      -0.015728       0.076459            0.1       0.099998            0.1     -0.0011707
          0.049      -0.015272       0.075155            0.1       0.099998            0.1      0.0016994
           0.05      -0.014606       0.074112            0.1       0.099998            0.1      0.0043072
          0.051      -0.013808       0.073582            0.1       0.099997            0.1      0.0064029
          0.052      -0.012968       0.073783            0.1       0.099997            0.1      0.0077668
          0.053      -0.012188       0.074883            0.1       0.099997            0.1      0.0082308
          0.054      -0.011572       0.076981            0.1       0.099997            0.1      0.0076977
          0.055      -0.011211       0.080087            0.1       0.099997            0.1      0.0061562
          0.056      -0.011181       0.084118            0.1       0.099997            0.1      0.0036891
          0.057      -0.011531       0.088898            0.1       0.099997            0.1     0.00047298
          0.058      -0.012273       0.094165            0.1       0.099997            0.1     -0.0032311
          0.059      -0.013386       0.099595            0.1       0.099997            0.1     -0.0070975
           0.06      -0.014809        0.10482            0.1       0.099996            0.1      -0.010764
          0.061       -0.01645        0.10949            0.1       0.099996            0.1      -0.013868
          0.062       -0.01819        0.11327       0.099999       0.099995            0.1      -0.016083
          0.063      -0.019899        0.11591       0.099999       0.099994            0.1      -0.017156
          0.064      -0.021441        0.11725       0.099999       0.099993            0.1      -0.016935
          0.065      -0.022692        0.11726       0.099999       0.099992            0.1      -0.015386
          0.066      -0.023549        0.11603            0.1       0.099991            0.1      -0.012597
          0.067       -0.02394        0.11377            0.1       0.099991            0.1     -0.0087736
          0.068      -0.023834        0.11078            0.1       0.099991            0.1     -0.0042204
          0.069       -0.02324        0.10743            0.1       0.099991            0.1     0.00068386
           0.07      -0.022212        0.10416            0.1        0.09999            0.1      0.0055151
          0.071      -0.020847         0.1014            0.1        0.09999            0.1      0.0098374
          0.072      -0.019276       0.099561       0.099999       0.099989            0.1       0.013238
          0.073      -0.017654       0.098994       0.099999       0.099988            0.1       0.015366
          0.074      -0.016152       0.099958       0.099999       0.099987            0.1       0.015961
          0.075      -0.014936        0.10259       0.099999       0.099987            0.1       0.014892
          0.076      -0.014155        0.10686       0.099999       0.099986            0.1       0.012175
          0.077      -0.013923        0.11261       0.099999       0.099986            0.1      0.0079856
          0.078      -0.014304         0.1195       0.099999       0.099986            0.1      0.0026572
          0.079      -0.015305        0.12705       0.099999       0.099986            0.1     -0.0033422
           0.08      -0.016872        0.13472       0.099999       0.099986            0.1     -0.0094498
          0.081       -0.01889        0.14189       0.099999       0.099985            0.1      -0.015065
          0.082      -0.021201          0.148       0.099998       0.099984            0.1       -0.01962
          0.083      -0.023614        0.15258       0.099998       0.099981            0.1       -0.02264
          0.084      -0.025925         0.1553       0.099998       0.099979            0.1      -0.023806
          0.085      -0.027942        0.15604       0.099998       0.099976            0.1      -0.022983
          0.086      -0.029496        0.15484       0.099998       0.099974            0.1      -0.020231
          0.087      -0.030461        0.15195       0.099999       0.099972            0.1      -0.015786
          0.088      -0.030759        0.14776       0.099999       0.099972            0.1      -0.010036
          0.089       -0.03037        0.14275            0.1       0.099972            0.1     -0.0034777
           0.09      -0.029333        0.13751       0.099999       0.099972            0.1       0.003324
          0.091      -0.027745        0.13261       0.099999       0.099971            0.1      0.0097778
          0.092      -0.025753        0.12863       0.099998        0.09997            0.1        0.01531
          0.093      -0.023546        0.12608       0.099997       0.099968            0.1       0.019407
          0.094       -0.02134        0.12538       0.099997       0.099966        0.10001       0.021662
          0.095      -0.019355        0.12679       0.099997       0.099963        0.10001        0.02181
          0.096      -0.017801        0.13038       0.099997       0.099962        0.10001        0.01977
          0.097      -0.016852        0.13604       0.099998       0.099961        0.10001       0.015665
          0.098      -0.016626        0.14342       0.099998       0.099961        0.10001      0.0098307
          0.099       -0.01717        0.15201       0.099998       0.099961        0.10001       0.002795
            0.1      -0.018455        0.16112       0.099998       0.099961        0.10001     -0.0047634
          0.101      -0.020372        0.16999       0.099997        0.09996        0.10001      -0.012088
          0.102      -0.022752        0.17789       0.099997       0.099959        0.10001      -0.018432
          0.103      -0.025378        0.18416       0.099996       0.099956        0.10001      -0.023159
          0.104      -0.028016        0.18837       0.099995       0.099953        0.10001      -0.025813
          0.105       -0.03044        0.19028       0.099995       0.099949        0.10001      -0.026174
          0.106      -0.032446        0.18992       0.099996       0.099946        0.10001      -0.024262
          0.107      -0.033879        0.18752       0.099997       0.099943        0.10001      -0.020316
          0.108      -0.034634         0.1835       0.099997       0.099941        0.10001      -0.014748
          0.109      -0.034668        0.17839       0.099998       0.099941        0.10001     -0.0080921
